Channel 		 par0 		 par1 		 Rbolmin 		 Rbolmax
365		0.0799886		1.08117e-10		3.02059e+08		1.54044e+09
367		0.133942		1.17502e-11		4.57485e+08		3.0905e+09
368		0.0686025		5.68139e-11		7.53823e+08		3.12485e+09
369		0.244599		1.10596e-10		3.05307e+08		3.59808e+09
370		0.147226		6.98228e-11		2.29929e+08		3.04226e+09
371		0.14896		1.18471e-10		3.28995e+08		3.88717e+09
373		0.183034		1.06132e-10		3.67966e+08		3.98504e+09
374		0.139072		4.13301e-11		8.88379e+08		4.32588e+09
375		0.156776		5.76587e-11		6.98481e+08		3.80564e+09
376		0.255558		8.5106e-11		3.74184e+08		3.94308e+09
377		0.179267		3.2459e-11		5.89003e+08		3.92996e+09
378		0.078247		9.57325e-11		4.74048e+08		2.3447e+09
379		0.0426364		8.82806e-11		5.70412e+08		2.35455e+09
380		0.038143		6.01185e-11		7.07903e+08		3.65856e+09
381		0.0423386		7.30923e-11		6.6314e+08		3.25016e+09
382		0.0822181		7.70399e-11		7.89147e+08		4.19274e+09
383		-0.010802		1.15393e-10		6.74254e+08		3.19869e+09
384		0.145295		1.65445e-10		6.61379e+08		2.42795e+09
385		0.058911		9.00239e-11		5.65998e+08		2.82435e+09
386		0.0521645		5.01153e-11		7.57044e+08		3.35843e+09
387		0.0784491		6.4545e-11		8.15754e+08		4.22259e+09
388		0.114608		1.9438e-10		4.45609e+08		2.11066e+09
389		0.0951736		5.83579e-11		6.55692e+08		3.87561e+09
390		0.180803		5.38403e-11		6.65178e+08		3.9447e+09
391		0.100368		5.74642e-11		6.87789e+08		3.51464e+09
393		0.0713146		1.14513e-10		3.96112e+08		2.22479e+09
394		0.0881547		5.22776e-11		9.0208e+08		4.85326e+09
395		0.0857203		2.36973e-11		1.17551e+09		5.11958e+09
396		0.114076		6.29291e-11		8.1575e+08		4.09719e+09
397		0.0839929		4.98804e-11		7.05725e+08		1.57759e+09
398		0.112915		4.71782e-11		8.563e+08		1.76819e+09
399		0.056539		1.03828e-10		6.98505e+08		4.35418e+09
400		0.0697289		7.18909e-11		5.86585e+08		2.70448e+09
401		0.0662177		5.85991e-11		7.37286e+08		4.07317e+09
402		0.0713343		1.18145e-10		6.51108e+08		2.82481e+09
403		0.174418		8.08214e-11		7.19721e+08		2.80135e+09
404		0.142605		1.2095e-10		2.15556e+08		2.37477e+09
405		0.0834043		6.57035e-11		8.20092e+08		3.70863e+09
406		0.0828175		9.30588e-11		7.14646e+08		3.55515e+09
407		0.0471341		1.27211e-10		7.42005e+08		3.86704e+09
408		0.0625453		7.13494e-11		7.25079e+08		4.18062e+09
409		0.0560988		4.49294e-11		6.12033e+08		4.06004e+09
410		0.0357626		8.21571e-11		7.22658e+08		3.64106e+09
411		0.0521151		5.44962e-11		6.64687e+08		3.34155e+09
412		0.0468091		8.2254e-11		6.39577e+08		4.20238e+09
413		0.0776954		5.73526e-11		7.87119e+08		4.7473e+09
414		0.0956677		6.69619e-11		8.51339e+08		5.2825e+09
415		0.351455		5.67987e-11		1.09425e+09		6.68912e+09
416		0.172718		7.84893e-11		7.44427e+08		3.93536e+09
417		0.0767311		7.89821e-11		6.75281e+08		3.26098e+09
418		0.0710311		9.1074e-11		6.53556e+08		4.10865e+09
419		0.176083		1.59355e-11		1.28048e+09		6.1273e+09
420		0.0805439		7.33071e-11		8.36019e+08		3.28015e+09
421		0.118523		2.18356e-11		2.25219e+08		1.25283e+09
422		0.0408777		7.05025e-11		4.96416e+08		2.01372e+09
423		0.0661809		5.89727e-11		5.49848e+08		3.28407e+09
424		0.136898		9.94303e-11		3.51945e+08		2.0491e+09
425		0.0642029		4.36876e-11		2.76925e+08		1.50338e+09
426		0.0809433		7.29884e-11		6.55539e+08		3.61248e+09
427		0.0352722		9.82227e-11		3.51396e+08		2.20078e+09
428		0.0355751		1.05998e-10		6.57546e+08		3.2799e+09
429		0.0968831		8.33113e-11		6.22157e+08		3.82907e+09
430		0.0504395		5.88569e-11		8.10006e+08		4.39596e+09
431		0.0390665		8.0442e-11		4.2763e+08		1.14513e+09
432		0.0354984		7.49215e-11		7.09731e+08		1.3675e+09
433		0.0325175		5.88701e-11		6.26972e+08		2.75525e+09
434		0.0101645		1.1225e-10		5.18344e+08		2.67115e+09
435		0.0418983		5.12725e-11		4.03008e+08		2.66256e+09
436		0.0226186		9.57308e-11		4.90715e+08		2.09648e+09
437		0.0868462		1.12379e-10		4.58348e+08		2.49718e+09
