365	1941160
366	1408450
367	2256190
368	1819150
369	1731360
370	2127370
371	1403820
372	1192460
373	1263530
374	1513600
375	1425590
376	1425820
377	1667780
378	1555580
379	1307150
380	1666880
381	1557640
382	1729370
383	1302700
384	1545930
385	1427010
386	1621990
387	1512290
388	2036860
389	1691870
390	2212440
417	1550630
418	1809430
419	2116240
420	1833490
421	2192080
422	1942910
423	1961300
424	1943090
425	2076210
426	1546420
427	1559650
428	1358770
429	1809560
430	1427110
431	3092330
432	2611880
433	1961860
434	1734130
435	2337580
436	1518250
437	1796390
438	2077550
439	1465010
440	1668020
441	2607210
442	2770130
469	1548330
470	1426490
471	2397280
472	1939750
473	2265820
474	1619230
475	1423520
476	1840280
477	1648300
478	1727090
479	1366120
480	2717400
481	1402430
482	1904540
483	2609340
484	968694
485	1948260
486	1294260
487	2061740
488	2064790
489	2567100
490	1566380
491	902951
492	1726290
493	1904100
494	1729240
