Channel 		 par0 		 par1 		 Rbolmin 		 Rbolmax
365		0.0116749		4.34188e-10		1.5184e+06		2.69102e+06
367		0.00757142		1.84921e-09		2.23116e+06		5.43608e+06
368		0.00729141		2.06235e-09		2.0785e+06		4.75432e+06
369		0.00527545		3.42568e-09		2.10192e+06		4.75554e+06
370		0.00892528		2.51411e-09		2.11999e+06		4.76954e+06
371		0.00639428		2.7829e-09		2.3093e+06		5.7488e+06
372		0.00587724		3.25886e-09		2.07023e+06		4.92021e+06
373		0.00436717		3.22413e-09		2.07596e+06		4.75314e+06
374		0.00812264		2.05575e-09		2.23502e+06		5.42774e+06
375		0.0106183		1.28758e-09		2.22837e+06		5.6948e+06
376		0.00600738		2.81276e-09		2.24973e+06		5.54851e+06
377		0.0116537		1.62044e-09		2.23983e+06		5.33143e+06
378		0.00997301		1.41733e-09		2.06791e+06		4.68436e+06
379		0.00985845		7.81708e-10		1.92375e+06		4.17216e+06
380		0.00859581		1.24182e-09		2.33884e+06		5.91616e+06
381		0.00761778		2.00652e-09		2.21361e+06		5.13713e+06
382		0.00600236		2.46461e-09		2.32135e+06		5.63101e+06
383		0.00717771		2.05338e-09		2.08459e+06		4.60459e+06
384		0.00663435		3.50509e-09		1.94023e+06		4.20847e+06
385		0.00650643		2.081e-09		1.83855e+06		3.97068e+06
386		0.00730978		2.60781e-09		1.79016e+06		3.59893e+06
387		0.0170282		2.07772e-09		2.18675e+06		5.15188e+06
388		0.00861085		3.14644e-09		1.74713e+06		3.54425e+06
389		0.00814988		1.93385e-09		2.36659e+06		5.84443e+06
390		0.00861467		3.08467e-09		2.39978e+06		6.16107e+06
417		0.010895		1.066e-09		1.09089e+06		5.22675e+06
418		0.00549843		2.26113e-09		2.56503e+06		6.40364e+06
419		0.0101493		1.72983e-09		1.74107e+06		3.41102e+06
420		0.00821959		2.26797e-09		2.13345e+06		4.65217e+06
421		0.0103345		1.39726e-09		1.98141e+06		4.42061e+06
422		0.0108383		1.04168e-09		1.96572e+06		4.2247e+06
423		0.0082756		2.19822e-09		2.19196e+06		5.12489e+06
424		0.00727719		2.29722e-09		1.94214e+06		4.11864e+06
425		0.0117239		1.07638e-09		1.25822e+06		3.23408e+06
426		0.00997016		1.55433e-09		2.10192e+06		4.78532e+06
427		0.0109726		1.14805e-09		1.76458e+06		3.51982e+06
428		0.0113424		1.34974e-09		2.23128e+06		5.02476e+06
429		0.00862666		2.13354e-09		2.30229e+06		5.5442e+06
430		0.00720426		1.66112e-09		2.34872e+06		5.8134e+06
431		0.00968208		8.09377e-10		2.61315e+06		5.69074e+06
432		0.00663998		2.52239e-09		2.49924e+06		6.08508e+06
433		0.00916077		1.32844e-09		2.11492e+06		2.40504e+06
434		0.0100486		9.24601e-10		1.0603e+06		2.37302e+06
435		0.0108444		7.73992e-10		2.22807e+06		5.13839e+06
436		0.00978782		9.23019e-10		2.0564e+06		4.49597e+06
437		0.00752972		2.09178e-09		2.2415e+06		4.69841e+06
438		0.00603695		1.93276e-09		1.89365e+06		3.89469e+06
439		0.0107873		1.44653e-09		1.98342e+06		4.25456e+06
441		0.0112064		1.17989e-09		1.33056e+06		2.20028e+06
442		0.00309374		5.75622e-09		2.14498e+06		4.88814e+06
469		0.00544243		2.58331e-09		3.2852e+06		1.09104e+07
470		0.00507761		1.84865e-09		3.55562e+06		1.2958e+07
471		0.00425701		2.03892e-09		3.3368e+06		1.11848e+07
472		0.00343865		2.1184e-09		3.71289e+06		1.45507e+07
473		0.00342998		2.85856e-09		2.96211e+06		8.9545e+06
474		0.00368849		1.99976e-09		3.57617e+06		1.39643e+07
475		0.00782245		2.25476e-09		3.24208e+06		1.06395e+07
476		-0.0031763		4.33937e-09		3.29247e+06		1.1312e+07
477		0.00521771		2.21815e-09		3.01946e+06		9.52748e+06
478		0.00649102		2.17732e-09		1.45748e+06		8.57039e+06
479		0.00200215		3.19871e-09		3.35099e+06		1.13698e+07
480		0.000745111		4.27526e-09		3.25602e+06		1.03863e+07
481		0.00274197		3.0186e-09		3.21574e+06		1.02833e+07
482		0.00519697		2.89511e-09		3.38177e+06		9.38497e+06
483		0.00951915		1.77267e-09		2.77063e+06		7.49372e+06
484		0.0077444		2.34031e-09		3.03648e+06		9.81644e+06
485		0.00736371		2.6704e-09		2.92858e+06		8.29349e+06
486		0.0105353		2.64967e-09		3.01573e+06		4.61374e+06
487		0.00626857		2.90684e-09		2.81383e+06		7.93586e+06
488		0.00597045		2.97117e-09		3.13962e+06		9.8858e+06
489		-0.00330445		5.66116e-09		3.1478e+06		9.48529e+06
490		0.00643532		2.51497e-09		3.33702e+06		1.15274e+07
492		-0.00761343		6.76716e-09		3.40463e+06		1.18562e+07
493		0.00535742		3.57712e-09		1.55487e+06		9.44139e+06
494		-0.00101287		5.73975e-09		3.09259e+06		1.00559e+07
