Channel 		 par0 		 par1 		 Rbolmin 		 Rbolmax
365		0.00341131		5.75343e-10		3.27453e+07		8.38725e+07
367		-0.0034456		3.8712e-10		4.47811e+07		1.60935e+08
368		-0.0065594		4.61935e-10		4.47147e+07		1.44085e+08
369		-0.00554091		4.86827e-10		4.58946e+07		1.47856e+08
370		-0.00119735		4.01978e-10		4.33466e+07		1.47696e+08
371		-0.000771631		3.49074e-10		5.24424e+07		1.71524e+08
372		-0.00289813		5.2119e-10		5.18273e+07		1.79773e+08
373		-0.00467351		4.46658e-10		5.29776e+07		1.80975e+08
374		-0.00450525		4.67553e-10		5.11832e+07		1.67374e+08
375		-0.00121986		5.30713e-10		5.0489e+07		1.67615e+08
376		-0.00539169		6.07802e-10		4.86995e+07		1.66839e+08
377		0.0102247		5.52841e-10		4.83485e+07		2.00768e+08
378		-0.00022212		4.97428e-10		4.12654e+07		1.64646e+08
379		-0.0018125		3.67491e-10		3.77268e+07		1.26685e+08
380		0.000824642		3.15427e-10		5.28125e+07		1.73589e+08
381		-0.00582434		4.08647e-10		4.79262e+07		1.55356e+08
382		-0.00889766		4.01758e-10		5.26265e+07		2.10995e+08
383		0.00441091		2.79021e-10		4.42431e+07		1.69146e+08
384		-0.0032286		4.4101e-10		4.23385e+07		1.29444e+08
385		-0.0109025		5.64976e-10		4.05601e+07		1.21294e+08
386		-0.00481424		5.69355e-10		3.66131e+07		1.33572e+08
387		-0.00134612		4.40977e-10		4.78187e+07		1.60884e+08
388		0.00343435		7.05446e-10		3.64133e+07		1.10443e+08
389		-0.00193839		5.05672e-10		5.10512e+07		1.77866e+08
390		0.0111549		5.97103e-10		5.18137e+07		1.82365e+08
417		-0.00621462		4.72513e-10		4.7316e+07		1.60142e+08
418		-0.00284401		4.18617e-10		5.13568e+07		1.93721e+08
419		0.00540263		4.98177e-10		3.72892e+07		1.26447e+08
420		0.000563028		5.12929e-10		4.39755e+07		1.79615e+08
421		0.00362264		4.39113e-10		4.10178e+07		1.35092e+08
422		-0.000119643		4.50369e-10		4.1543e+07		1.57095e+08
423		0.00346851		4.62764e-10		2.28634e+07		1.59584e+08
424		-0.00691643		6.87606e-10		4.09463e+07		1.28177e+08
425		-0.0026579		4.2468e-10		2.5897e+07		1.97633e+08
426		-0.00715478		5.44639e-10		4.77864e+07		1.84849e+08
427		0.000453939		5.45201e-10		3.78613e+07		1.13589e+08
428		0.0096038		4.35133e-10		2.4444e+07		1.93142e+08
429		-0.00672642		6.02262e-10		4.73955e+07		1.7004e+08
430		0.00976195		2.51495e-10		7.58109e+07		1.11027e+08
431		0.003261		2.74073e-10		4.89411e+07		2.1671e+08
432		0.00624494		2.8481e-10		5.45867e+07		2.3424e+08
433		0.00122498		3.57283e-10		4.3733e+07		9.08478e+07
434		0.0235948		1.78784e-10		4.25947e+07		8.79102e+07
435		0.000650859		2.83479e-10		4.61742e+07		1.93562e+08
436		0.0018687		3.52423e-10		4.24296e+07		1.63585e+08
437		-0.00471077		5.26158e-10		4.19666e+07		1.39236e+08
438		-0.00196539		4.2572e-10		4.03835e+07		1.48e+08
439		-0.00179386		3.68843e-10		4.17045e+07		1.36355e+08
441		0.0065289		4.42585e-10		3.04336e+07		7.20077e+07
442		0.00843723		6.59818e-10		4.49143e+07		1.52988e+08
469		0.0362522		2.01875e-10		1.25853e+08		4.16698e+08
470		0.0205658		1.48975e-10		1.49072e+08		4.81147e+08
471		0.0540031		4.13657e-11		7.5697e+07		3.01644e+08
472		0.0093142		1.82743e-10		1.4297e+08		3.52043e+08
473		0.00763768		2.29317e-10		5.91917e+07		2.54032e+08
474		0.00287728		1.7851e-10		1.17031e+08		3.35961e+08
475		0.00390583		2.47956e-10		1.25226e+08		2.91208e+08
476		0.0204106		2.61498e-10		1.09351e+08		3.00704e+08
477		0.0108539		2.4171e-10		8.76523e+07		3.70484e+08
478		0.0073821		3.33141e-10		6.44867e+07		2.51837e+08
479		0.0274824		2.01877e-10		1.41707e+08		3.0719e+08
480		0.0508803		2.30553e-10		6.95463e+07		4.06405e+08
481		0.00810429		4.25675e-10		9.2486e+07		2.84023e+08
482		0.0142588		3.67035e-10		7.67319e+07		3.59973e+08
483		0.00343683		3.99043e-10		5.62932e+07		2.25827e+08
484		0.000365349		4.33809e-10		1.16349e+08		2.63971e+08
485		0.00555783		4.63318e-10		5.89208e+07		3.2386e+08
486		0.0454608		5.14094e-10		8.43678e+07		1.75407e+08
487		-0.00225793		5.31158e-10		6.15772e+07		2.30596e+08
488		0.00355554		4.44119e-10		7.15528e+07		2.72093e+08
489		-0.0025273		7.23196e-10		6.673e+07		2.66633e+08
490		-0.0015809		4.54906e-10		1.27548e+08		2.99082e+08
492		0.0278657		7.16317e-10		1.10571e+08		4.33046e+08
493		0.00915392		5.03939e-10		7.93754e+07		2.66535e+08
494		-0.00943103		9.72191e-10		1.0131e+08		2.68416e+08
