Channel 		 par0 		 par1 		 Rbolmin 		 Rbolmax
365		0.00610775		1.95611e-09		3.91882e+06		1.70212e+07
367		-0.00690702		1.81118e-09		1.09576e+07		3.36543e+07
368		-0.0033594		1.75232e-09		8.82991e+06		3.16846e+07
369		-0.0105715		2.52758e-09		8.86522e+06		2.97183e+07
370		-0.0035516		1.98694e-09		7.99171e+06		2.97544e+07
371		-0.00250095		1.68504e-09		1.12139e+07		3.92913e+07
372		-0.011319		2.84399e-09		8.52889e+06		3.04416e+07
373		-0.00900274		2.28353e-09		8.67191e+06		3.00442e+07
374		-0.00287051		2.08523e-09		9.35031e+06		3.40917e+07
375		0.00193524		2.15743e-09		1.07385e+07		3.88278e+07
376		-0.0134743		3.09592e-09		9.3932e+06		3.44104e+07
377		0.000292643		2.78886e-09		9.51013e+06		3.64576e+07
378		-0.000583236		2.23352e-09		7.69344e+06		2.89553e+07
379		0.00453093		1.27743e-09		5.31908e+06		2.57722e+07
380		-0.00198523		1.40319e-09		5.67148e+06		4.04794e+07
381		-0.0046825		1.64499e-09		9.30056e+06		3.18787e+07
382		-0.00477241		1.6568e-09		9.68785e+06		3.51117e+07
383		0.00493174		1.09552e-09		7.72157e+06		3.09337e+07
384		-0.0064411		2.31323e-09		8.17646e+06		2.59943e+07
385		0.000258808		1.65669e-09		4.50992e+06		2.61898e+07
386		-0.001994		2.23814e-09		6.78821e+06		2.38369e+07
387		0.00840928		1.661e-09		9.22606e+06		3.25314e+07
388		-0.000472687		2.99996e-09		5.16094e+06		2.18997e+07
389		-0.00708045		2.39733e-09		1.00229e+07		3.66093e+07
390		-0.0104579		3.57803e-09		1.01636e+07		3.80533e+07
417		0.00763098		1.40704e-09		1.56253e+07		3.69488e+07
418		-0.00131478		1.7285e-09		1.83638e+07		4.62802e+07
419		-0.000112296		2.19624e-09		1.22483e+07		2.2941e+07
420		0.00917952		1.86078e-09		1.78288e+07		3.28459e+07
421		0.00590797		1.62142e-09		1.97255e+07		3.00491e+07
422		0.00774344		1.46489e-09		7.00433e+06		2.92456e+07
423		0.000827539		1.83675e-09		1.57851e+07		3.61371e+07
424		0.0198478		1.24334e-09		1.37635e+07		2.78395e+07
425		-0.00556286		1.77562e-09		1.8304e+07		4.73273e+07
426		-0.00834897		2.23749e-09		1.50715e+07		3.38453e+07
427		0.0125717		1.36627e-09		1.24259e+07		2.36708e+07
428		0.0363303		6.52667e-10		1.58814e+07		3.58529e+07
429		0.00300642		1.90799e-09		1.65372e+07		3.92269e+07
430		0.0329007		4.50855e-10		1.22582e+07		4.20291e+07
431		0.0116975		9.9266e-10		2.45366e+07		4.05469e+07
432		-0.00362668		1.69358e-09		2.1281e+07		4.39416e+07
433		0.00891412		1.22172e-09		1.51368e+07		3.32723e+07
434		0.020794		6.45059e-10		1.51179e+07		3.32476e+07
435		0.00523741		1.13611e-09		1.59798e+07		3.6401e+07
436		0.0166336		8.11639e-10		1.45637e+07		3.09301e+07
437		0.0145111		1.33882e-09		1.45402e+07		3.19801e+07
438		0.0117251		1.17822e-09		1.3449e+07		2.69005e+07
439		-0.00057773		1.55567e-09		1.40963e+07		2.96073e+07
441		0.00769604		1.44003e-09		4.43354e+06		1.40224e+07
442		-0.0113449		3.85023e-09		6.3126e+06		2.99936e+07
469		0.0137661		1.19855e-09		2.39504e+07		8.90448e+07
470		-0.00160217		1.11098e-09		3.76428e+07		1.07108e+08
471		-0.00792947		1.30879e-09		2.06696e+07		9.29701e+07
472		-0.00985716		1.15229e-09		3.98902e+07		1.2641e+08
473		0.00609499		1.20409e-09		1.59153e+07		7.11366e+07
474		-0.000175246		9.96843e-10		1.31354e+07		1.15651e+08
475		0.00443166		1.27139e-09		2.37677e+07		8.68401e+07
476		-0.0177788		2.11964e-09		2.04151e+07		9.31718e+07
477		-0.00416506		1.39324e-09		1.87218e+07		7.6425e+07
478		0.00779067		1.4304e-09		1.28308e+07		6.7915e+07
479		0.0119545		1.32353e-09		1.22282e+07		9.50412e+07
480		0.009932		1.73579e-09		1.75243e+07		8.38433e+07
481		0.00562605		1.76264e-09		1.99156e+07		8.39768e+07
482		0.0237376		1.2591e-09		8.06896e+06		7.45066e+07
483		0.00699424		1.41438e-09		1.03739e+07		5.73619e+07
484		0.000823385		1.72709e-09		2.21439e+07		7.62663e+07
485		0.00446286		1.74073e-09		1.09043e+07		6.43389e+07
486		0.00518275		1.9336e-09		1.58311e+07		7.38801e+07
487		0.00285396		1.94661e-09		1.23045e+07		6.07412e+07
488		-0.0011959		1.83408e-09		1.67914e+07		7.85398e+07
489		-0.0035418		2.71322e-09		1.37109e+07		7.51753e+07
490		0.00294262		1.74744e-09		2.42988e+07		9.28374e+07
492		0.0427179		2.52107e-09		2.48934e+07		9.73243e+07
493		0.00793863		2.04609e-09		1.67311e+07		7.50558e+07
494		0.00845893		3.07684e-09		1.90509e+07		7.94408e+07
