365	2575213
366	1398239
367	1801517
368	1399533
369	1936406
370	2000994
371	1626542
372	1999721
373	1466032
374	1724422
375	1785151
376	1652584
377	1700236
378	2075223
379	1612793
380	1700062
381	1960777
382	1200505
383	1437405
384	1787261
385	1787903
386	999406
387	1499472
388	1852171
389	1960572
390	2463174
417	1991669
418	2185217
419	994921
420	1499719
421	2099650
422	2394920
423	2423631
424	2150368
425	2586331
426	1951082
427	1960479
428	1649059
429	1804880
430	1399211
431	2672435
432	1497592
433	1704848
434	2252010
435	2345694
436	1531897
437	2280645
438	2000168
439	1966841
440	2020325
441	1732446
442	3101691
469	1620180
470	1198629
471	1501473
472	1602740
473	2199482
474	1956310
475	998666
476	2022932
477	1953752
478	1846098
479	1001447
480	1699021
481	1724390
482	1402603
483	2773110
484	1739164
485	2348092
486	1523226
487	2466187
488	1949127
489	2553692
490	1499715
491	698843
492	1958726
493	2022380
494	1839369
