Channel 		 par0 		 par1 		 Rbolmin 		 Rbolmax
367		-0.00427947		1.6843e-09		8.79103e+06		3.31208e+07
368		-0.00271276		1.76552e-09		7.27488e+06		3.15507e+07
369		-0.00922397		2.49436e-09		7.74421e+06		2.93108e+07
370		-0.00349156		1.97979e-09		7.52177e+06		2.93438e+07
371		-0.00531499		1.78569e-09		8.92929e+06		3.50257e+07
372		-0.00920202		2.48795e-09		7.42496e+06		3.30493e+07
373		-0.00524656		1.92166e-09		8.07603e+06		3.23588e+07
374		-0.00605585		1.98254e-09		8.70874e+06		3.35542e+07
375		-0.00715351		2.31614e-09		9.1648e+06		3.44343e+07
376		-0.0130871		2.72702e-09		8.19386e+06		3.38517e+07
377		-0.00239549		2.42245e-09		8.31351e+06		3.63091e+07
378		-0.00330619		2.02787e-09		7.23973e+06		2.85882e+07
379		0.000353506		1.29879e-09		7.57972e+06		2.74327e+07
380		0.00174024		1.21914e-09		9.02554e+06		4.02776e+07
381		0.00016078		1.38505e-09		8.12375e+06		3.44121e+07
382		-0.00461608		1.63891e-09		8.44384e+06		3.45491e+07
383		0.00172421		1.26094e-09		7.26038e+06		2.83901e+07
384		-0.00413156		2.11337e-09		7.1424e+06		2.5673e+07
385		-0.00404019		1.80143e-09		7.25728e+06		2.42972e+07
386		-0.00127441		2.04954e-09		6.39298e+06		2.37078e+07
387		0.00687425		1.66421e-09		8.05217e+06		3.20477e+07
389		-0.00765346		2.10968e-09		8.74905e+06		3.60383e+07
390		-0.0133961		3.20599e-09		8.87676e+06		3.74647e+07
417		0.0036119		1.0436e-09		7.66407e+06		3.5297e+07
418		-0.00214477		1.1733e-09		9.53335e+06		4.38556e+07
421		0.00410202		1.30803e-09		7.10856e+06		2.7092e+07
423		0.00570214		1.24699e-09		7.9072e+06		3.18857e+07
425		-0.00347321		1.34784e-09		9.47233e+06		4.04704e+07
426		0.00180654		1.35179e-09		7.52705e+06		3.01776e+07
428		0.00489534		1.32212e-09		7.96252e+06		3.42733e+07
429		-0.00328368		1.76849e-09		8.70836e+06		3.441e+07
430		0.00614282		1.31423e-09		8.54665e+06		3.96099e+07
431		-0.00016271		1.26957e-09		8.503e+06		3.86482e+07
432		0.000491857		1.56368e-09		8.87267e+06		4.16204e+07
433		0.00351482		1.47593e-09		7.60622e+06		1.49048e+07
435		-0.000985458		1.44142e-09		8.01449e+06		3.21817e+07
436		0.00146824		1.421e-09		7.4282e+06		2.98349e+07
439		0.00238838		1.47771e-09		7.21068e+06		2.85209e+07
441		0.00690781		1.78391e-09		5.3011e+06		1.38662e+07
469		-0.00307401		1.4616e-09		1.90065e+07		7.74972e+07
470		-0.0163269		1.33764e-09		2.4276e+07		7.79683e+07
471		-0.0113134		1.39857e-09		1.50582e+07		6.98924e+07
472		-0.00785395		1.1139e-09		2.56031e+07		1.01932e+08
474		-0.00940521		1.12847e-09		2.19736e+07		8.1279e+07
475		-0.009281		1.57683e-09		1.89265e+07		6.65765e+07
476		-0.02103		2.25548e-09		1.67368e+07		7.00937e+07
477		-0.0106642		1.58444e-09		1.36472e+07		6.01768e+07
479		-0.0194476		1.99479e-09		2.04485e+07		7.09055e+07
480		0.100627		1.94514e-10		1.33567e+07		6.54806e+07
481		-0.0253025		2.57124e-09		1.45183e+07		6.49527e+07
484		-0.0146788		1.52813e-09		1.76053e+07		6.04547e+07
490		-0.00869487		1.43374e-09		2.02933e+07		7.01683e+07
491		0.108251		1.61395e-09		1.10229e+07		6.15861e+07
492		-0.0253868		2.79627e-09		1.97886e+07		8.31291e+07
494		-0.0361471		3.61672e-09		1.56438e+07		6.23015e+07
